PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
70,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/cmd.js, src-tauri/src/assets/core.js, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json, src/hooks/useData.ts, src/hooks/useEvent.ts, src/main.tsx, src/utils.ts, src/view/model/SyncCustom/Form.tsx, src/view/model/SyncCustom/config.tsx, src/view/model/SyncCustom/index.tsx, src/view/model/SyncPrompts/index.tsx, src/view/model/SyncRecord/config.tsx",2022-12-24T12:26:17Z,2022-12-24T12:26:23Z,lencx,chore: optim,,
69,patch-1,README.md,2022-12-23T16:37:38Z,2022-12-23T17:10:52Z,JacobLinCool,docs: fix cask name in the brewfile section,"Hello,

This PR fixes the cask name in the `brewfile` section. I noticed that this had been causing some confusion for users, so I hope this helps to clear things up.

I also wanted to express my gratitude to you as the maintainer for all of your hard work on this project. Your efforts are greatly appreciated and make a big difference for everyone who uses ChatGPT.

Thank you again for all that you do, and I hope you find this PR to be useful.
",
67,fix,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json",2022-12-23T15:07:43Z,2022-12-23T15:07:55Z,lencx,fix: path not allowed on the configured scope (#64),,
66,fix,".github/workflows/release.yml, README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json",2022-12-23T14:41:00Z,2022-12-23T14:41:09Z,lencx,fix: path not allowed on the configured scope,,
65,fix,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json",2022-12-23T13:45:55Z,2022-12-23T13:46:01Z,lencx,fix: path not allowed on the configured scope,,
63,fix,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json, src/utils.ts",2022-12-23T12:21:28Z,2022-12-23T12:21:35Z,lencx,fix: path not allowed on the configured scope,,
62,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, assets/chatgpt-cmd.gif, chat.model.json, package.json, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/assets/cmd.js, src-tauri/src/assets/export.js, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json, src/hooks/useChatModel.ts, src/hooks/useData.ts, src/hooks/useEvent.ts, src/hooks/useTable.tsx, src/layout/index.tsx, src/main.scss, src/main.tsx, src/routes.tsx, src/utils.ts, src/view/LanguageModel/index.scss, src/view/LanguageModel/index.tsx, src/view/SyncPrompts/index.scss, src/view/SyncPrompts/index.tsx, src/view/model/SyncCustom/Form.tsx, src/view/model/SyncCustom/config.tsx, src/view/model/SyncCustom/index.tsx",2022-12-23T11:19:37Z,2022-12-23T11:20:39Z,lencx,feat: sync,,
53,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/tauri.conf.json",2022-12-19T17:31:46Z,2022-12-19T17:31:53Z,lencx,chore: optim,,
46,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, package.json, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/fs_extra.rs, src-tauri/src/app/mod.rs, src-tauri/src/assets/cmd.js, src-tauri/src/main.rs, src-tauri/tauri.conf.json, src/hooks/useChatModel.ts, src/hooks/useInit.ts, src/layout/index.scss, src/layout/index.tsx, src/routes.tsx, src/utils.ts, src/view/LanguageModel/index.tsx, src/view/SyncPrompts/config.tsx, src/view/SyncPrompts/index.scss, src/view/SyncPrompts/index.tsx",2022-12-18T19:11:56Z,2022-12-18T19:12:07Z,lencx,feat: chatgpt-prompts sync,,
44,fix,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2022-12-18T04:10:56Z,2022-12-18T04:11:05Z,lencx,chore: add log,,
